backend,mode,capacity,processes,db_pool,jobs_per_second,finished_jobs_per_second,drain_jobs_per_second,execution_jobs_per_second,wall_time_s,enqueue_time_s,drain_time_s,execution_window_s,completed_jobs,successful_jobs,finished_jobs,failed_jobs,child_jobs_enqueued,child_jobs_finished,child_jobs_failed,peak_rss_kb,avg_rss_kb,avg_cpu_pct,peak_cpu_pct,queue_delay_p50_ms,queue_delay_p95_ms,queue_delay_p99_ms,queue_delay_max_ms,service_time_p50_ms,service_time_p95_ms,service_time_p99_ms,service_time_max_ms,total_latency_p50_ms,total_latency_p95_ms,total_latency_p99_ms,total_latency_max_ms
solid_queue,thread,50,2,55,9.35,9.35,9.41,9.91,5.348,0.036,5.313,5.046,50,50,50,0,0,0,0,220760,213731,12.4,119.0,333.38,341.96,342.61,342.61,5000.36,5000.89,5001.8,5001.8,5333.69,5342.44,5342.99,5342.99
solid_queue,thread,100,2,105,9.34,9.34,9.4,9.9,5.352,0.032,5.321,5.052,50,50,50,0,0,0,0,229576,215319,16.9,129.0,336.47,345.36,346.0,346.0,5000.46,5001.81,5004.34,5004.34,5336.94,5346.29,5346.86,5346.86
solid_queue,thread,150,2,155,9.32,9.32,9.37,9.89,5.367,0.033,5.333,5.055,50,50,50,0,0,0,0,228784,215189,16.3,109.1,350.19,359.36,359.93,359.93,5000.56,5004.05,5004.99,5004.99,5350.95,5359.95,5361.0,5361.0
solid_queue,thread,200,2,205,9.34,9.34,9.4,9.9,5.351,0.033,5.318,5.053,50,50,50,0,0,0,0,230064,215337,16.7,118.8,334.07,343.24,343.8,343.8,5000.42,5004.05,5004.66,5004.66,5335.02,5343.43,5345.31,5345.31
solid_queue,thread,5,6,10,4.92,4.92,4.93,4.97,10.166,0.033,10.133,10.065,50,50,50,0,0,0,0,654772,614031,14.3,334.9,113.54,5159.88,5160.52,5160.52,5000.09,5000.48,5000.55,5000.55,5113.75,10159.96,10160.8,10160.8
solid_queue,thread,10,6,15,9.66,9.66,9.73,9.99,5.176,0.039,5.137,5.007,50,50,50,0,0,0,0,639640,600646,21.0,356.0,163.82,167.27,167.96,167.96,5000.08,5000.44,5000.52,5000.52,5163.89,5167.34,5168.04,5168.04
solid_queue,thread,25,6,30,9.59,9.59,9.65,9.96,5.212,0.032,5.18,5.021,50,50,50,0,0,0,0,638732,610314,29.2,236.9,201.07,205.71,206.4,206.4,5000.19,5000.58,5000.78,5000.78,5201.27,5205.91,5206.85,5206.85
solid_queue,thread,50,6,55,9.34,9.34,9.4,9.9,5.352,0.032,5.32,5.051,50,50,50,0,0,0,0,632496,605792,33.8,148.4,336.06,344.88,345.66,345.66,5000.35,5000.73,5001.14,5001.14,5336.36,5345.61,5346.53,5346.53
solid_queue,thread,100,6,105,9.32,9.32,9.39,9.89,5.365,0.038,5.327,5.054,50,50,50,0,0,0,0,641112,606590,37.7,158.4,349.27,358.85,359.49,359.49,5000.37,5001.08,5002.35,5002.35,5349.59,5359.32,5360.07,5360.07
solid_queue,thread,150,6,155,9.32,9.32,9.38,9.89,5.366,0.033,5.332,5.054,50,50,50,0,0,0,0,640684,606468,38.1,138.4,349.07,359.6,360.18,360.18,5000.47,5004.03,5004.47,5004.47,5351.34,5360.11,5360.58,5360.58
solid_queue,thread,200,6,205,9.32,9.32,9.38,9.89,5.365,0.035,5.33,5.054,50,50,50,0,0,0,0,641408,607518,37.2,157.3,349.75,358.1,358.94,358.94,5000.54,5004.12,5004.73,5004.73,5351.12,5358.55,5359.82,5359.82
solid_queue,async,5,1,5,0.99,0.99,0.99,0.99,50.398,0.036,50.362,50.319,50,50,50,0,0,0,0,117884,113696,0.9,49.5,25236.02,45379.55,45391.09,45391.09,5000.05,5000.42,5000.79,5000.79,30236.27,50379.58,50391.11,50391.11
solid_queue,async,10,1,5,1.97,1.97,1.98,1.98,25.319,0.035,25.284,25.24,50,50,50,0,0,0,0,118352,113000,1.5,59.2,10212.25,20312.85,20313.34,20313.34,5000.05,5000.37,5000.47,5000.47,15212.28,25313.21,25313.82,25313.82
solid_queue,async,25,1,5,4.89,4.89,4.91,4.93,10.228,0.034,10.194,10.148,50,50,50,0,0,0,0,119272,111825,2.6,79.3,5180.21,5222.26,5222.76,5222.76,5000.04,5000.36,5000.56,5000.56,10180.26,10222.29,10222.78,10222.78
solid_queue,async,50,1,5,9.72,9.72,9.78,9.87,5.143,0.033,5.11,5.064,50,50,50,0,0,0,0,117996,111917,4.6,69.4,115.77,137.7,138.25,138.25,5000.22,5014.7,5016.14,5016.14,5121.96,5137.74,5138.27,5138.27
solid_queue,async,100,1,5,9.71,9.71,9.77,9.87,5.151,0.033,5.118,5.066,50,50,50,0,0,0,0,116852,113562,9.4,59.4,128.14,145.13,145.74,145.74,5000.14,5000.51,5000.65,5000.65,5128.39,5145.29,5145.76,5145.76
solid_queue,async,150,1,5,9.71,9.71,9.77,9.86,5.151,0.032,5.119,5.07,50,50,50,0,0,0,0,117224,113593,9.4,69.4,124.28,145.16,145.83,145.83,5000.05,5000.3,5000.41,5000.41,5124.3,5145.44,5145.99,5145.99
solid_queue,async,200,1,5,9.69,9.69,9.75,9.87,5.158,0.032,5.126,5.067,50,50,50,0,0,0,0,116900,113739,9.5,79.2,131.57,151.74,152.36,152.36,5000.11,5000.42,5000.6,5000.6,5131.84,5152.08,5152.68,5152.68
solid_queue,async,5,2,6,1.98,1.98,1.98,1.99,25.259,0.032,25.227,25.179,50,50,50,0,0,0,0,233996,218898,1.9,98.9,10167.3,20242.19,20253.51,20253.51,5000.04,5000.27,5000.41,5000.41,15167.34,25242.24,25253.54,25253.54
solid_queue,async,10,2,6,3.29,3.29,3.29,3.3,15.216,0.032,15.184,15.133,50,50,50,0,0,0,0,238876,219280,5.8,98.5,5139.76,10208.59,10210.36,10210.36,5000.03,5000.35,5000.41,5000.41,10139.8,15208.94,15210.48,15210.48
solid_queue,async,25,2,6,9.77,9.77,9.83,9.93,5.119,0.031,5.088,5.034,50,50,50,0,0,0,0,225376,209520,4.7,108.5,104.79,111.53,113.96,113.96,5000.11,5000.6,5000.71,5000.71,5104.83,5111.74,5114.03,5114.03
solid_queue,async,50,2,6,9.71,9.71,9.78,9.87,5.147,0.033,5.114,5.066,50,50,50,0,0,0,0,220968,210587,10.5,89.1,119.57,140.38,141.83,141.83,5000.1,5015.07,5016.5,5016.5,5125.1,5140.41,5141.85,5141.85
solid_queue,async,100,2,6,9.7,9.7,9.76,9.86,5.153,0.031,5.122,5.069,50,50,50,0,0,0,0,219876,211860,15.3,99.1,131.02,146.14,147.65,147.65,5000.16,5000.46,5000.6,5000.6,5131.05,5146.4,5147.77,5147.77
solid_queue,async,150,2,6,9.7,9.7,9.76,9.86,5.154,0.034,5.121,5.069,50,50,50,0,0,0,0,220328,212297,15.7,108.9,127.85,147.32,148.86,148.86,5000.11,5000.36,5000.4,5000.4,5127.89,5147.61,5149.05,5149.05
solid_queue,async,200,2,6,9.7,9.7,9.76,9.87,5.157,0.033,5.124,5.065,50,50,50,0,0,0,0,219608,211712,15.1,99.1,138.73,150.82,151.35,151.35,5000.17,5000.39,5000.44,5000.44,5138.85,5151.04,5151.59,5151.59
solid_queue,async,5,6,10,4.93,4.93,4.95,4.97,10.141,0.033,10.109,10.062,50,50,50,0,0,0,0,655040,614914,16.6,295.7,92.72,5135.26,5135.81,5135.81,5000.05,5000.66,5000.9,5000.9,5093.15,10135.3,10135.83,10135.83
solid_queue,async,10,6,10,9.77,9.77,9.84,9.95,5.118,0.037,5.081,5.027,50,50,50,0,0,0,0,648800,606348,16.3,284.2,107.2,111.45,111.94,111.94,5000.05,5000.54,5000.64,5000.64,5107.22,5111.82,5112.42,5112.42
solid_queue,async,25,6,10,9.76,9.76,9.82,9.94,5.123,0.034,5.09,5.029,50,50,50,0,0,0,0,644232,606312,27.2,137.2,111.07,117.48,118.13,118.13,5000.17,5000.56,5000.67,5000.67,5111.14,5117.77,5118.15,5118.15
solid_queue,async,50,6,10,9.71,9.71,9.77,9.87,5.15,0.031,5.119,5.067,50,50,50,0,0,0,0,632092,606113,32.8,128.4,134.06,144.49,145.11,145.11,5000.29,5009.6,5011.18,5011.18,5134.09,5144.66,5145.41,5145.41
solid_queue,async,100,6,10,9.7,9.7,9.76,9.86,5.156,0.031,5.125,5.069,50,50,50,0,0,0,0,631976,607257,38.3,128.7,141.64,150.23,150.78,150.78,5000.13,5000.6,5000.79,5000.79,5141.83,5150.36,5150.96,5150.96
solid_queue,async,150,6,10,9.68,9.68,9.74,9.85,5.166,0.032,5.133,5.076,50,50,50,0,0,0,0,630796,606218,38.1,118.8,142.38,152.62,154.18,154.18,5000.22,5000.65,5006.22,5006.22,5142.52,5152.94,5160.4,5160.4
solid_queue,async,200,6,10,9.69,9.69,9.76,9.87,5.157,0.033,5.125,5.068,50,50,50,0,0,0,0,630248,605705,37.1,118.0,139.68,151.43,151.97,151.97,5000.21,5000.42,5000.5,5000.5,5139.88,5151.76,5152.19,5152.19
