backend,mode,capacity,processes,db_pool,jobs_per_second,finished_jobs_per_second,drain_jobs_per_second,execution_jobs_per_second,wall_time_s,enqueue_time_s,drain_time_s,execution_window_s,completed_jobs,successful_jobs,finished_jobs,failed_jobs,child_jobs_enqueued,child_jobs_finished,child_jobs_failed,peak_rss_kb,avg_rss_kb,avg_cpu_pct,peak_cpu_pct,queue_delay_p50_ms,queue_delay_p95_ms,queue_delay_p99_ms,queue_delay_max_ms,service_time_p50_ms,service_time_p95_ms,service_time_p99_ms,service_time_max_ms,total_latency_p50_ms,total_latency_p95_ms,total_latency_p99_ms,total_latency_max_ms
solid_queue,async,5,2,6,1.84,1.84,1.85,1.86,10.871,0.041,10.829,10.775,20,20,20,0,800,800,0,247212,244418,87.4,158.8,1988.36,2080.51,2090.92,2090.92,1866.64,1962.06,1971.09,1971.09,10565.18,10857.02,10861.71,10861.71
solid_queue,async,10,2,6,2.66,2.66,2.68,2.7,7.513,0.043,7.471,7.416,20,20,20,0,800,800,0,246820,243661,122.6,188.4,100.12,102.56,103.96,103.96,2773.01,2843.38,2850.0,2850.0,7445.78,7494.9,7504.25,7504.25
solid_queue,async,25,2,6,2.63,2.63,2.64,2.66,7.594,0.026,7.568,7.51,20,20,20,0,800,800,0,245460,241032,114.6,187.8,102.45,108.16,117.07,117.07,6070.23,6093.81,6105.22,6105.22,7460.25,7571.7,7589.29,7589.29
solid_queue,async,50,2,6,3.38,3.38,3.4,3.43,5.909,0.027,5.883,5.831,20,20,20,0,800,800,0,241368,238743,160.5,188.2,91.66,102.43,102.75,102.75,5736.85,5767.91,5782.14,5782.14,5827.76,5901.23,5904.12,5904.12
solid_queue,async,100,2,6,3.14,3.14,3.15,3.18,6.367,0.027,6.339,6.294,20,20,20,0,800,800,0,243700,239525,144.1,188.4,85.33,89.57,93.56,93.56,5982.84,6023.84,6049.44,6049.44,6278.61,6348.27,6360.99,6360.99
solid_queue,async,150,2,6,3.4,3.4,3.41,3.44,5.889,0.027,5.863,5.813,20,20,20,0,800,800,0,240948,238373,159.9,178.5,94.52,99.25,103.92,103.92,5723.37,5746.69,5747.72,5747.72,5816.5,5850.4,5883.99,5883.99
solid_queue,async,200,2,6,3.43,3.43,3.45,3.48,5.829,0.027,5.802,5.753,20,20,20,0,800,800,0,241064,238253,158.7,188.7,91.31,97.65,98.35,98.35,5656.95,5681.02,5705.92,5705.92,5747.81,5816.16,5822.74,5822.74
solid_queue,async,5,6,10,4.12,4.12,4.14,4.18,4.858,0.027,4.831,4.786,20,20,20,0,800,800,0,730632,718926,235.8,474.7,77.64,81.74,83.37,83.37,1872.07,1911.97,1922.75,1922.75,4773.05,4846.06,4852.95,4852.95
solid_queue,async,10,6,10,4.06,4.06,4.08,4.12,4.929,0.026,4.903,4.85,20,20,20,0,800,800,0,719116,704668,231.6,404.8,85.67,89.41,89.68,89.68,2702.89,2726.33,2808.75,2808.75,4857.6,4917.58,4923.52,4923.52
solid_queue,async,25,6,10,3.59,3.59,3.6,3.65,5.576,0.028,5.548,5.486,20,20,20,0,800,800,0,709892,697213,237.9,316.0,100.64,110.52,116.14,116.14,5417.42,5433.67,5448.11,5448.11,5520.39,5563.76,5570.01,5570.01
solid_queue,async,50,6,10,3.65,3.65,3.67,3.71,5.48,0.025,5.455,5.396,20,20,20,0,800,800,0,709084,695561,240.7,316.7,94.56,103.69,107.43,107.43,5296.99,5366.79,5366.9,5366.9,5396.77,5450.57,5474.53,5474.53
solid_queue,async,100,6,10,3.44,3.44,3.46,3.49,5.813,0.026,5.787,5.724,20,20,20,0,800,800,0,710392,697500,228.1,296.6,99.61,105.11,107.16,107.16,5382.92,5446.77,5451.99,5451.99,5681.27,5794.07,5807.36,5807.36
solid_queue,async,150,6,10,3.59,3.59,3.61,3.64,5.566,0.027,5.54,5.487,20,20,20,0,800,800,0,712016,698174,238.3,316.4,95.91,106.96,109.28,109.28,5396.93,5423.55,5442.81,5442.81,5497.94,5537.27,5561.11,5561.11
solid_queue,async,200,6,10,3.64,3.64,3.65,3.69,5.499,0.027,5.472,5.425,20,20,20,0,800,800,0,710020,697001,242.5,305.7,98.94,105.52,106.77,106.77,5325.79,5352.33,5382.8,5382.8,5433.92,5468.11,5493.73,5493.73
