mode,capacity,processes,db_pool,jobs_per_second,wall_time_s,completed_jobs,failed_jobs,peak_rss_kb,avg_rss_kb,avg_cpu_pct,peak_cpu_pct,queue_delay_p50_ms,queue_delay_p95_ms,queue_delay_p99_ms,queue_delay_max_ms,service_time_p50_ms,service_time_p95_ms,service_time_p99_ms,service_time_max_ms,total_latency_p50_ms,total_latency_p95_ms,total_latency_p99_ms,total_latency_max_ms
async,75,2,6,26.87,18.611,500,0,213080,200529,125.4,206.7,46.57,400.66,1259.48,1636.48,38.33,42.04,62.13,106.53,85.42,438.44,1296.46,1673.54
async,100,2,6,26.74,18.701,500,0,212512,200444,124.8,215.6,46.44,412.44,1204.29,1535.68,38.39,41.5,45.37,106.21,85.12,455.59,1241.34,1572.32
async,150,2,6,27.04,18.491,500,0,213484,201293,126.1,206.4,46.94,495.2,1229.4,1760.97,38.5,41.79,61.46,106.14,85.64,532.24,1265.76,1797.82
async,200,2,6,26.95,18.556,500,0,212272,201231,125.3,208.3,46.88,543.75,1215.39,1432.97,39.15,42.44,61.27,104.45,86.08,580.99,1253.23,1471.94
async,10,4,8,27.78,17.999,500,0,402292,382388,145.2,400.6,39.61,259.29,907.25,1071.52,38.63,42.74,64.66,114.26,78.8,313.95,945.87,1110.09
async,25,4,8,27.76,18.014,500,0,405228,384745,144.6,386.3,39.8,88.38,1144.06,1657.41,39.09,43.57,64.41,116.88,79.58,194.77,1181.88,1695.42
async,50,4,8,27.73,18.034,500,0,403832,382200,145.5,385.8,39.32,113.04,1290.38,1717.96,39.11,43.13,63.87,119.01,79.35,202.86,1328.1,1757.41
async,75,4,8,27.79,17.994,500,0,406828,384298,143.9,365.7,39.26,197.49,1236.91,1641.71,38.8,42.78,64.27,118.1,78.88,244.37,1274.92,1681.7
async,100,4,8,27.65,18.08,500,0,403792,382848,144.8,381.8,39.45,144.88,1210.04,1563.2,39.12,43.35,65.59,114.39,79.09,199.66,1247.05,1600.63
async,150,4,8,27.6,18.116,500,0,406200,385601,147.2,373.3,39.56,169.92,1121.17,1682.01,40.39,45.95,63.07,117.62,80.58,210.69,1159.62,1721.13
async,200,4,8,27.79,17.995,500,0,404232,384218,143.5,366.5,39.22,267.07,1237.81,1568.05,38.62,42.32,62.3,114.69,78.35,349.52,1275.76,1606.38
