mode,capacity,processes,db_pool,jobs_per_second,wall_time_s,completed_jobs,failed_jobs,peak_rss_kb,avg_rss_kb,avg_cpu_pct,peak_cpu_pct,queue_delay_p50_ms,queue_delay_p95_ms,queue_delay_p99_ms,queue_delay_max_ms,service_time_p50_ms,service_time_p95_ms,service_time_p99_ms,service_time_max_ms,total_latency_p50_ms,total_latency_p95_ms,total_latency_p99_ms,total_latency_max_ms
thread,150,2,155,28.98,69.011,2000,2000,254008,247149,30.0,168.6,36.48,45.52,405.93,949.85,0.33,0.42,0.84,9.89,36.82,45.88,406.62,950.35
thread,200,2,205,29.0,68.955,2000,2000,254516,241583,30.0,158.8,36.61,45.03,410.29,939.6,0.33,0.42,0.89,10.12,36.96,45.33,411.12,940.31
thread,10,4,15,29.02,68.921,2000,2000,492240,474681,40.3,347.2,36.64,44.58,256.92,895.05,0.37,0.47,1.02,23.09,37.0,45.17,259.53,895.44
thread,25,4,30,29.06,68.816,2000,2000,458968,449441,40.8,227.8,36.59,44.0,393.24,937.04,0.37,0.47,0.88,10.87,36.97,44.45,394.08,937.52
thread,50,4,55,29.14,68.645,2000,2000,464212,450411,40.6,287.6,36.41,43.84,421.17,935.56,0.36,0.46,0.92,10.64,36.78,44.22,421.55,936.18
thread,75,4,80,29.06,68.822,2000,2000,478700,462068,40.6,257.7,36.43,43.95,375.98,943.18,0.35,0.42,0.88,10.33,36.78,44.31,376.44,943.64
thread,100,4,105,29.03,68.895,2000,2000,469852,459513,40.5,247.7,36.6,44.39,362.69,952.59,0.36,0.44,0.84,10.34,36.96,44.74,363.22,953.26
thread,150,4,155,29.05,68.839,2000,2000,468048,453371,40.6,244.0,36.62,43.43,371.48,949.58,0.37,0.5,0.93,10.03,37.0,43.88,372.2,950.17
thread,200,4,205,28.95,69.079,2000,2000,466712,456729,40.6,270.0,36.74,44.47,382.21,950.26,0.37,0.45,0.89,10.34,37.12,44.83,383.04,950.94
async,10,1,5,28.93,69.121,2000,2000,105956,104237,25.1,79.4,36.66,47.0,480.75,804.07,2.26,2.76,14.44,51.18,38.95,49.28,490.11,854.57
async,25,1,5,29.03,68.895,2000,2000,107192,105225,25.3,89.3,36.52,46.12,292.97,819.13,2.25,2.75,79.98,87.31,38.81,48.42,329.76,899.09
async,50,1,5,28.9,69.198,2000,2000,108576,106433,25.2,88.7,36.55,46.73,270.61,819.05,2.25,2.69,89.18,93.21,38.85,49.05,360.84,910.71
async,75,1,5,28.77,69.512,2000,2000,109116,106865,25.1,89.3,36.64,47.06,252.2,833.18,2.26,2.75,87.02,92.67,38.92,49.42,342.64,923.51
async,100,1,5,28.82,69.407,2000,2000,108000,106071,25.2,89.3,36.58,47.91,217.93,825.15,2.27,2.85,61.43,88.21,38.87,50.24,287.47,901.54
async,150,1,5,28.96,69.066,2000,2000,107452,105762,25.3,89.3,36.48,47.01,238.52,809.84,2.26,2.75,84.13,96.8,38.78,49.36,334.44,872.32
async,200,1,5,28.89,69.223,2000,2000,107592,105390,25.2,89.0,36.61,46.89,245.48,831.42,2.27,2.77,89.93,108.1,38.89,49.16,335.04,920.21
async,10,2,6,29.07,68.809,2000,2000,213348,208555,31.1,178.6,36.54,45.99,335.54,798.41,2.32,2.8,20.33,85.28,38.9,48.31,360.34,871.8
async,25,2,6,28.97,69.048,2000,2000,215720,210243,31.1,147.5,36.61,45.86,290.48,823.21,2.34,2.83,49.1,63.5,38.98,48.24,343.73,872.28
async,50,2,6,28.92,69.147,2000,2000,215864,210268,31.0,148.9,36.75,46.21,250.59,864.26,2.33,2.85,20.17,43.55,39.09,48.4,279.26,896.55
async,75,2,6,28.97,69.04,2000,2000,214540,209812,31.1,147.0,36.49,46.03,245.5,811.42,2.28,2.82,83.58,93.76,38.79,48.66,329.72,900.82
async,100,2,6,28.96,69.067,2000,2000,216432,210765,31.1,158.5,36.65,45.98,264.34,881.11,2.32,2.82,23.76,39.18,39.01,48.21,290.78,910.35
async,150,2,6,29.04,68.865,2000,2000,216068,210876,31.2,156.6,36.63,44.29,237.57,833.34,2.3,2.81,21.15,38.67,38.93,46.67,267.54,863.48
async,200,2,6,28.92,69.158,2000,2000,216536,211067,31.2,158.6,36.64,45.44,278.54,812.77,2.33,2.86,20.9,47.6,38.99,47.95,307.38,833.04
async,10,4,8,28.98,69.011,2000,2000,429484,416532,42.0,312.9,36.66,44.18,260.26,806.74,2.44,2.97,95.52,106.98,39.11,46.78,359.95,906.79
async,25,4,8,29.06,68.83,2000,2000,430108,417153,42.0,277.4,36.64,44.04,316.65,884.91,2.41,2.95,16.98,50.39,39.08,46.52,323.89,930.45
async,50,4,8,29.04,68.875,2000,2000,443528,429250,42.1,257.8,36.55,43.51,308.42,886.99,2.45,2.99,32.27,46.58,39.01,46.31,351.77,933.58
async,75,4,8,29.03,68.905,2000,2000,429696,417636,41.8,237.8,36.62,43.01,281.83,850.08,2.4,2.88,18.19,46.53,39.04,45.41,301.95,880.05
async,100,4,8,28.99,68.985,2000,2000,443256,431152,41.9,255.7,36.69,43.69,317.74,884.81,2.42,2.96,16.79,47.83,39.13,46.15,331.78,928.63
async,150,4,8,28.93,69.13,2000,2000,443124,429920,41.9,257.9,36.76,43.4,296.3,888.48,2.43,2.91,41.67,51.17,39.22,45.9,333.89,925.03
async,200,4,8,28.97,69.033,2000,2000,457412,444919,41.6,217.7,36.71,43.52,299.34,815.89,2.37,2.88,58.63,74.56,39.13,46.3,363.68,879.33
